YEAR;EQ_PRIMARY;INTENSITY;COUNTRY;LATITUDE;LONGITUDE;DEATHS
1293;7.1;0;JAPAN;35.2;139.4;23024
1295;0;8;SWITZERLAND;46.9;9.5;0
1295;0;8;SWITZERLAND;46.9;9.5;0
1298;0;10;ITALY;42.4;12.9;0
1300;6.5;0;IRAN;36.8;56;0
1300;0;0;ITALY;42.4;12.9;0
1300;0;10;CROATIA;44.1;15.2;0
1301;0;0;IRAN;36.2;53.4;0
1303;8;9;GREECE;35;27;4000
1303;8;11;CHINA;36.3;111.7;0
1304;6.7;8;IRAN;38.5;45.5;0
1305;6.5;9;CHINA;39.8;113.1;2000
1306;0;0;IRAN;26.6;56.2;0
1306;0;10;GREECE;35.5;25.5;0
1306;6.5;9;CHINA;35.9;106.1;5000
1310;0;0;CHINA;31.2;112.2;3466
1310;5.5;7;IRAQ;35.6;46;0
1314;6;8;CHINA;36.5;113.8;340
1319;0;7;IRAN;39.1;44.5;75
1319;0;10;ITALY;41.5;13.8;0
1320;0;10;PORTUGAL;36;-10.7;0
1323;0;10;CROATIA;45.2;14.7;0
1327;4.8;6;CHINA;30.1;102.7;0
1328;0;10;ITALY;42.8;13;5000
1329;0;7;ITALY;37.734;15.004;0
1331;7;0;JAPAN;33.7;135.2;0
1336;0;0;IRAN;26.6;56.2;0
1336;7.6;0;IRAN;34.7;59.7;20000
1337;6.5;8;CHINA;40.4;115.7;0
1339;0;8;LEBANON;34.3;35.5;60
1340;0;0;CHINA;29;111.3;360
1341;7;0;JAPAN;41;139.5;0
1341;6;8;UKRAINE;44.3;34.3;0
1343;0;0;CHINA;34.9;105.8;0
1343;7.5;8;TURKEY;40.8;28.3;0
1343;0;10;CROATIA;44;15;0
1344;0;0;IRAN;32.6;51.7;20
1344;0;9;SYRIA;36.527;37.956;5700
1344;0;0;PORTUGAL;38;-9;0
1345;0;0;ITALY;43.8;11.3;0
1346;0;8;SWITZERLAND;47.5;7.6;0
1347;0;0;CHINA;36.9;118.2;0
1348;0;10;AUSTRIA;46.4;13.5;5000
1349;0;10;ITALY;42.3;13.5;2000
1350;6.5;9;GEORGIA;43;43;0
1351;5.5;7;CHINA;37.3;113;0
1352;7;9;CHINA;35.6;105.3;0
1352;0;11;ITALY;43.5;12.1;2000
1353;0;11;TURKEY;40.8;27;0
1354;0;7;SYRIA;35.1;36.4;24
1356;0;10;PORTUGAL;36.8;-9;0
1356;0;10;SWITZERLAND;47.4;7.6;300
1358;0;8;YEMEN;14.1;43.2;61
1359;0;0;ALGERIA;36.8;3;0
1360;0;0;IRAN;26.8;55.9;0
1360;7;0;JAPAN;33.4;136.2;0
1361;5;6;CHINA;28.8;115.3;0
1361;8.4;0;JAPAN;33;135;0
1361;0;10;ITALY;40.3;15.6;4000
1365;0;0;ALGERIA;36.8;3;0
1367;0;0;IRAN;37.3;49.7;0
1368;6;7;CHINA;37.6;112.5;0
1372;4.8;6;CHINA;32;118.8;16
1374;0;10;SPAIN;42.1;-0.3;0
1375;0;8;SWITZERLAND;46.9;8.4;0
1377;0;0;YEMEN;12.4;45.1;0
1380;0;10;ALBANIA;41.1;20.1;0
1382;0;0;IRAN;35.3;51.2;0
1383;0;10;TURKEY;39.2;26.2;0
1384;0;7;GREECE;39.3;26.3;500
1385;6.3;8;NORTH KOREA;37.6;126.3;0
1386;0;10;BOSNIA-HERZEGOVINA;44.2;17.7;0
1387;0;0;YEMEN;12.4;45.1;0
1387;0;10;CROATIA;44.1;15.2;0
1389;0;0;IRAN;36.1;58.5;0
1389;5.8;9;IRAN;36.2;58.5;0
1389;7.6;0;IRAN;36.2;58.8;0
1389;0;10;GREECE;38.5;26.5;0
1390;6.1;8;UZBEKISTAN;39.8;64.4;0
1390;0;10;CROATIA;44.1;15.2;0
1391;0;8;SWITZERLAND;47.4;7.2;0
1399;0;10;CROATIA;44.1;15.2;0
1400;0;0;IRAN;27.7;54.3;0
1400;0;0;IRAN;36.5;49;0
1402;0;0;SYRIA;35;37;0
1403;7;0;JAPAN;33.7;136.5;0
1404;0;9;SYRIA;36.1;37.1;0
1405;6.7;9;IRAN;36;58.8;0
1406;6.2;0;JAPAN;34.4;138.4;0
1407;0;0;TURKEY;36;36;0
1408;7;0;JAPAN;33.8;136.9;0
1408;0;10;TURKEY;36.2;36.1;0
1414;0;10;ITALY;43.5;12.1;200
1417;0;0;ITALY;41;15;0
1418;0;10;CROATIA;43.9;15.6;0
1419;0;0;TURKEY;40.9;28.9;0
1426;0;11;YEMEN;14.1;43.2;60
1427;0;11;SPAIN;41.7;2.2;0
1428;0;9;FRANCE;43.4;4.4;600
1431;0;9;SPAIN;37.2;-3.6;0
1433;7.1;0;JAPAN;34.9;139.5;0
1440;6.5;0;IRAN;28.3;53.1;0
1440;6.3;8;CHINA;36.2;103.3;200
1441;0;0;IRAN;38;46.2;0
1441;0;0;TURKEY;38.3;43.2;0
1443;0;10;SLOVAKIA;48.5;19.1;30
1444;0;0;TURKEY;38.7;42.2;30000
1444;0;0;BULGARIA;43.2;27.9;0
1445;6.3;8;CHINA;24.5;117.6;0
1447;0;0;ITALY;41.9;12.6;0
1448;7;0;JAPAN;37.5;138.2;0
1451;0;10;CROATIA;42.6;18.1;0
1454;0;0;SWITZERLAND;47.5;7.6;0
1454;0;0;SWITZERLAND;47.5;7.6;0
1455;6.3;8;SOUTH KOREA;35.9;126.5;0
1456;0;0;TURKEY;39.8;39.5;0
1456;0;11;ITALY;40.4;14.5;30000
1456;0;10;SERBIA;42.2;20.7;0
1457;0;0;ISRAEL;31.2;34.2;32000
1458;0;8;ISRAEL;31.2;34.2;100
1458;0;0;TURKEY;39.9;40.4;32000
1459;0;10;CROATIA;46.3;16.3;0
1461;0;10;ITALY;42.3;13.4;0
1461;0;10;ITALY;42.3;13.5;0
1463;0;9;YEMEN;14.1;43.2;10
1464;0;9;SPAIN;37.3;-5.6;0
1469;0;10;GREECE;38.5;20.5;0
1471;8;9;PERU;-16.3;-71;0
1471;0;10;CROATIA;42.6;18.1;0
1475;6.4;9;KYRGYZSTAN;42.6;75.2;0
1478;5.5;7;CHINA;27.5;101.6;0
1479;0;10;CROATIA;43;17.6;0
1481;6;8;CHINA;26.5;99.9;0
1481;7.1;10;GREECE;36;28;0
1481;0;0;GREECE;36;28;0
1481;0;0;GREECE;36;28;0
1481;0;0;ITALY;42;15.9;0
1482;6.5;0;IRAN;26.1;56.9;0
1482;7.5;10;TURKEY;39.9;40.4;30000
1482;0;10;CROATIA;42.6;18.1;0
1483;7.7;0;IRAN;24.9;57.9;0
1483;0;10;GREECE;36.2;27.5;0
1484;0;0;IRAN;37;49;0
1484;6.8;9;CHINA;40.5;116.5;0
1485;6.5;8;IRAN;36.9;49.9;0
1487;6.3;8;CHINA;34.4;108.9;1900
1488;5.5;7;CHINA;31.7;103.9;0
1490;0;10;GREECE;36.5;27;0
1490;5.8;8;UZBEKISTAN;39.4;67.1;0
1490;0;0;IRELAND;54;-9;100
1491;0;0;GREECE;36.9;27;5000
1493;6.5;0;IRAN;33;59.8;0
1493;0;9;GREECE;36.8;27;0
1494;5.5;7;CHINA;25.5;103.8;3
1494;7.2;0;GREECE;35.5;25.5;0
1494;0;8;FRANCE;43.4;7.1;0
1494;0;10;FRANCE;43.8;7;0
1495;7.1;0;JAPAN;35.1;139.5;0
1495;6.3;8;CHINA;37.6;105.6;0
1496;0;10;CROATIA;43.5;16.1;0
1498;0;0;VENEZUELA;9.9;-62.3;0
1498;7.5;0;JAPAN;33.5;135.2;0
1498;8.3;0;JAPAN;34;138.1;0
1498;6.4;0;JAPAN;34.4;137.7;0
1499;0;0;CHINA;25;103;10000
1500;0;9;CHINA;24.9;103.1;10000
1501;7;9;CHINA;34.8;110.1;400
1501;0;10;GREECE;35.5;25;0
1502;0;0;DOMINICAN REPUBLIC;18.3;-69.5;0
1502;6.5;8;CHINA;35.7;115.3;50
1502;0;10;CROATIA;45.8;16.1;0
1504;0;10;SPAIN;37.3;-5.4;0
1504;0;10;CROATIA;42.6;18.1;0
1504;0;8;SWITZERLAND;46.8;10.2;0
1505;0;12;AFGHANISTAN;34.5;69.2;0
1505;5;6;CHINA;35.2;110.9;0
1505;0;10;SLOVENIA;45.9;14.2;0
1507;5.3;6;CHINA;24.6;102.5;0
1508;0;10;GREECE;35.2;25.1;300
1509;0;0;CHINA;31.5;121.5;0
1509;0;10;ITALY;38.1;15.7;0
1509;7.7;10;TURKEY;40.8;28.1;5000
1509;0;0;TURKEY;41.7;26.6;0
1509;0;8;SLOVENIA;46.4;14.1;0
1510;7;0;JAPAN;34.5;137.6;0
1510;6.7;0;JAPAN;34.6;135.4;0
